2025-12-16 14:03:53,155 | INFO | === DQN BACKTEST START (Segment-aware, hourly, Behavioral ROI) ===
2025-12-16 14:05:02,061 | INFO | === DQN BACKTEST START (Segment-aware, hourly, Behavioral ROI) ===
2025-12-16 14:07:51,545 | INFO | === DQN BACKTEST START (Segment-aware, hourly, Behavioral ROI) ===
2025-12-16 14:07:51,656 | INFO | Backtest data aligned | lookback=60 | steps=1461
2025-12-16 14:07:51,890 | INFO | STEP 22 | Price=0.970501 | Next=0.967499 | logret=-0.003098 | eff=-0.003098 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,890 | INFO | STEP 23 | Price=0.967499 | Next=0.966647 | logret=-0.000881 | eff=-0.000881 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,890 | INFO | STEP 24 | Price=0.966647 | Next=0.966928 | logret=0.000290 | eff=0.000290 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,890 | INFO | STEP 25 | Price=0.966928 | Next=0.961142 | logret=-0.006001 | eff=-0.006001 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,890 | INFO | STEP 26 | Price=0.961142 | Next=0.964518 | logret=0.003506 | eff=0.003506 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,890 | INFO | STEP 27 | Price=0.964518 | Next=0.968174 | logret=0.003784 | eff=0.003784 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,890 | INFO | STEP 28 | Price=0.968174 | Next=0.973742 | logret=0.005734 | eff=0.005734 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,890 | INFO | STEP 29 | Price=0.973742 | Next=0.977969 | logret=0.004332 | eff=0.004332 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,890 | INFO | STEP 30 | Price=0.977969 | Next=0.974521 | logret=-0.003532 | eff=-0.003532 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,890 | INFO | STEP 31 | Price=0.974521 | Next=0.977606 | logret=0.003161 | eff=0.003161 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,906 | INFO | STEP 32 | Price=0.977606 | Next=0.985666 | logret=0.008211 | eff=0.008211 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,906 | INFO | STEP 33 | Price=0.985666 | Next=0.989893 | logret=0.004280 | eff=0.004280 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
