episode,steps,total_reward,final_balance,roi_total,epsilon,time_sec
1,2000,-1965.8793218272701,13979.509072387335,-0.8602049092761267,0.99050475,0.1484990119934082
2,2000,-2195.8235899668603,10694.446432229743,-0.8930555356777026,0.98100475,0.0238802433013916
3,2000,-2238.974718988749,10352.83056805714,-0.8964716943194286,0.97150475,0.04824709892272949
4,2000,-1882.2245438771583,14966.987093723294,-0.8503301290627671,0.96200475,0.0675513744354248
5,2000,-1956.8282493133822,14399.355917911796,-0.8560064408208821,0.95250475,0.24180984497070312
6,2000,-2600.4000015211554,7056.64347587915,-0.9294335652412085,0.9430047500000001,5.747619390487671
7,2000,-1776.9393062149957,16816.049210861762,-0.8318395078913824,0.93350475,6.1134843826293945
8,2000,-1744.653082243156,15572.53657740159,-0.8442746342259841,0.92400475,6.113098382949829
9,2000,-1636.285285512091,18392.09212436107,-0.8160790787563893,0.91450475,6.003655195236206
10,2000,-1652.672593922661,18102.503575744457,-0.8189749642425554,0.90500475,5.845288515090942
11,2000,-1583.366081094538,20478.402905862662,-0.7952159709413734,0.89550475,5.876646995544434
12,2000,-2179.7126893168806,11330.193803072401,-0.886698061969276,0.88600475,5.594205141067505
13,2000,-1520.6848660957469,21725.057743284586,-0.7827494225671541,0.87650475,5.940129280090332
14,2000,-2122.8522872450926,11878.827556617074,-0.8812117244338292,0.86700475,5.632499933242798
15,2000,-1364.548483730636,25483.022739954908,-0.7451697726004509,0.85750475,6.039222717285156
16,2000,-2396.4353285161437,8379.757567386263,-0.9162024243261374,0.84800475,5.463056802749634
17,2000,-2055.00667851394,12565.076063488785,-0.8743492393651122,0.83850475,5.431143522262573
18,2000,-1943.598506197335,14603.27622839741,-0.8539672377160259,0.82900475,5.2955427169799805
19,2000,-1581.9851448324855,18958.0172291252,-0.810419827708748,0.81950475,5.579077959060669
20,2000,-715.587518717208,45646.54990056528,-0.5435345009943472,0.81000475,5.402739763259888
21,2000,-1636.2394502937466,18771.365335778348,-0.8122863466422166,0.80050475,5.4250524044036865
22,2000,-677.6004214872694,40719.64842781641,-0.5928035157218359,0.79100475,5.543300628662109
23,2000,-1103.627991565109,32698.553576376715,-0.6730144642362328,0.78150475,5.4946911334991455
24,2000,-1376.2630571728196,25067.61820091018,-0.7493238179908982,0.77200475,5.667481899261475
25,2000,-1982.3893725684736,13481.572273152124,-0.8651842772684788,0.76250475,6.0831615924835205
26,2000,-1224.7134559896178,29017.721601786652,-0.7098227839821335,0.75300475,6.168198108673096
27,2000,-1438.2196443753915,24019.45706408071,-0.7598054293591929,0.74350475,6.024602651596069
28,2000,-1756.0215661595487,16804.548138029764,-0.8319545186197024,0.73400475,6.109051465988159
29,2000,-1368.4485435155998,23848.951977062763,-0.7615104802293724,0.72450475,6.037644863128662
30,2000,-2001.5008031484508,12369.5731945648,-0.876304268054352,0.7150047500000001,6.028738260269165
31,2000,-927.2220068385163,34556.14642494974,-0.6544385357505027,0.70550475,6.185789585113525
32,2000,-1402.1926356567205,23240.121108399213,-0.7675987889160079,0.6960047500000001,6.311447620391846
33,2000,-1218.5311754977972,28837.96947671307,-0.7116203052328693,0.6865047500000001,6.345980405807495
34,2000,-1536.3602403845723,21472.42746025181,-0.7852757253974819,0.67700475,6.260404825210571
35,2000,-1320.83650762525,23539.977046074844,-0.7646002295392516,0.66750475,6.247210741043091
36,2000,-1383.0253996875133,25177.979747861536,-0.7482202025213847,0.65800475,6.528768539428711
37,2000,-1202.1748389217896,30404.13907701128,-0.6959586092298872,0.6485047500000001,6.29419469833374
38,2000,-979.0637287986935,36226.513738553665,-0.6377348626144633,0.63900475,6.380389213562012
39,2000,-1339.3265064876423,25704.152030225636,-0.7429584796977436,0.6295047500000001,6.225951433181763
40,2000,-1795.5128806002838,10718.016948335142,-0.8928198305166486,0.6200047500000001,6.287139654159546
41,2000,-1255.7716105126383,28186.966893631077,-0.7181303310636893,0.61050475,6.324429512023926
42,2000,-1082.7341602787528,33410.9810594093,-0.665890189405907,0.60100475,6.363630294799805
43,2000,-1512.8129366334422,18922.234993282993,-0.8107776500671701,0.59150475,6.299618482589722
44,2000,-603.1009073107797,49326.070652558534,-0.5067392934744146,0.5820047500000001,6.538883686065674
45,2000,-702.6172468787761,48803.98993681865,-0.5119601006318135,0.57250475,6.153135776519775
46,2000,-1285.1628591649626,25612.408380879653,-0.7438759161912034,0.56300475,6.25287127494812
47,2000,-1085.024311492153,33543.057031290504,-0.664569429687095,0.5535047500000001,6.452876567840576
48,2000,-1560.8198126695638,19892.670264281685,-0.8010732973571831,0.54400475,6.303296804428101
49,2000,-1266.1146022693335,27708.87156786432,-0.7229112843213568,0.53450475,6.603970289230347
50,2000,-851.9168077906828,41986.95525200061,-0.5801304474799939,0.52500475,6.436980485916138
51,2000,-701.0260667664413,42152.48554778389,-0.5784751445221612,0.5155047500000001,6.408035039901733
52,2000,-876.0909620026367,39074.433180939166,-0.6092556681906083,0.50600475,6.370429754257202
53,2000,-371.1849695871943,61564.92451575305,-0.3843507548424695,0.49650475000000005,6.542283058166504
54,2000,-1290.0954814792299,25477.392969759123,-0.7452260703024087,0.48700475,6.50097393989563
55,2000,1037.904882484981,218170.50795533325,1.1817050795533324,0.47750475000000003,6.5049920082092285
56,2000,-462.00015729962115,60814.23822401253,-0.3918576177598747,0.46800474999999997,6.331202983856201
57,2000,-1149.7080911135154,22480.23594045239,-0.7751976405954761,0.45850475,6.5217859745025635
58,2000,-1235.6768237078004,28974.954159996432,-0.7102504584000358,0.44900474999999995,6.634519577026367
59,2000,-642.5377429639381,50790.93375657602,-0.4920906624342398,0.43950475,6.436601161956787
60,2000,-846.7119671561671,41803.84583332242,-0.5819615416667758,0.43000475000000005,6.425280809402466
