"timestamp","open","high","low","close","volume"
2019-12-12 07:00,7180.01,7209.93,7168.73,7186.07,115.13393
2019-12-12 08:00,7186.07,7200.38,7163.84,7166.92,44.565174
2019-12-12 09:00,7165.34,7197.26,7165.34,7191.65,103.813705
2019-12-12 10:00,7187.2,7203.0,7174.91,7193.77,52.198406
2019-12-12 11:00,7192.4,7207.67,7191.01,7207.42,37.81677
2019-12-12 12:00,7208.95,7296.19,7102.65,7135.37,737.0146
2019-12-12 13:00,7143.23,7157.93,7072.2,7139.91,278.77625
2019-12-12 14:00,7137.5,7175.83,7126.59,7145.46,245.50258
2019-12-12 15:00,7155.4,7173.64,7140.92,7157.14,149.41223
2019-12-12 16:00,7157.14,7162.11,7135.99,7145.0,44.26291
2019-12-12 17:00,7149.9,7163.8,7137.8,7153.71,113.14196
2019-12-12 18:00,7158.67,7168.34,7141.18,7163.78,75.9013
2019-12-12 19:00,7163.98,7163.98,7134.92,7140.51,91.84471
2019-12-12 20:00,7140.51,7140.51,7101.0,7128.39,109.93647
2019-12-12 21:00,7128.29,7164.61,7120.94,7160.85,58.69574
2019-12-12 22:00,7161.91,7211.75,7124.04,7157.6,305.4554
2019-12-12 23:00,7148.54,7200.0,7148.54,7192.7,206.45612
2019-12-13 00:00,7199.95,7211.75,7173.58,7187.11,116.071754
2019-12-13 01:00,7186.11,7199.8,7164.84,7187.19,153.57718
2019-12-13 02:00,7188.76,7215.73,7135.03,7159.7,246.28838
2019-12-13 03:00,7155.86,7185.98,7142.16,7185.98,114.16732
2019-12-13 04:00,7185.98,7207.74,7169.57,7195.0,312.0392
2019-12-13 05:00,7199.0,7208.65,7182.67,7191.73,69.3133
2019-12-13 06:00,7191.17,7224.22,7182.68,7211.04,88.08256
2019-12-13 07:00,7208.69,7218.0,7186.36,7206.81,139.79141
2019-12-13 08:00,7205.0,7252.73,7195.0,7247.72,498.43753
2019-12-13 09:00,7252.85,7253.68,7180.83,7194.57,120.00096
2019-12-13 10:00,7205.45,7206.7,7176.9,7193.37,44.414696
2019-12-13 11:00,7186.04,7202.62,7180.63,7188.42,58.304405
2019-12-13 12:00,7185.15,7209.01,7185.15,7194.4,141.55354
2019-12-13 13:00,7194.1,7203.81,7179.65,7191.53,27.171997
2019-12-13 14:00,7190.68,7208.52,7190.68,7199.43,20.88843
2019-12-13 15:00,7202.6,7223.3,7196.05,7220.25,74.47738
2019-12-13 16:00,7221.94,7234.5,7213.27,7217.73,88.19377
2019-12-13 17:00,7221.42,7223.03,7206.93,7211.61,139.38713
2019-12-13 18:00,7219.47,7221.22,7200.14,7213.23,96.76008
2019-12-13 19:00,7212.89,7239.38,7202.85,7227.56,202.89511
2019-12-13 20:00,7222.52,7245.0,7190.0,7199.6,490.7378
2019-12-13 21:00,7199.6,7217.07,7197.53,7207.18,74.51473
2019-12-13 22:00,7201.83,7216.16,7195.22,7210.58,67.35805
2019-12-13 23:00,7213.54,7232.56,7206.68,7210.91,129.41116
2019-12-14 00:00,7215.28,7226.98,7193.42,7226.62,72.14835
2019-12-14 01:00,7217.59,7235.87,7213.67,7235.86,175.56874
2019-12-14 02:00,7230.77,7236.0,7210.02,7220.12,186.80283
2019-12-14 03:00,7220.12,7258.52,7220.02,7250.63,232.89842
2019-12-14 04:00,7250.63,7302.35,7245.7,7273.35,212.28935
2019-12-14 05:00,7274.51,7292.63,7253.71,7267.0,98.86189
2019-12-14 06:00,7267.01,7282.71,7200.0,7233.5,170.3126
2019-12-14 07:00,7228.17,7267.03,7224.49,7259.4,150.25937
2019-12-14 08:00,7259.4,7268.61,7244.5,7249.98,88.39987
2019-12-14 09:00,7249.98,7254.48,7235.35,7243.31,42.726234
2019-12-14 10:00,7236.1,7254.8,7221.12,7239.55,177.29416
2019-12-14 11:00,7239.0,7257.47,7234.18,7257.47,17.167484
2019-12-14 12:00,7255.94,7258.45,7233.18,7240.55,28.394321
2019-12-14 13:00,7240.55,7265.0,7232.06,7264.99,33.797634
2019-12-14 14:00,7256.45,7265.0,7244.67,7248.75,30.70775
2019-12-14 15:00,7253.42,7255.05,7238.82,7255.0,50.227947
2019-12-14 16:00,7255.0,7262.46,7245.28,7252.19,12.320107
2019-12-14 17:00,7259.67,7269.0,7252.19,7267.2,32.607372
2019-12-14 18:00,7260.04,7269.0,7239.32,7245.0,41.598076
