timestamp,title
2019-11-27 12:53,Hackers Steal $49M in Ethereum from Cryptocurrency Exchange Upbit
2019-11-27 13:06,Upbit Confirms Theft of $49M in Ether from Crypto Exchange
2019-11-27 15:00,U.S. President Donald Trump Signs Hong Kong Human Rights and Democracy Act into Law
2019-11-28 00:00,Nearly $50 Million of Ether Swiped From South Korean Cryptocurrency Exchange
2019-11-28 07:28,Gold Gains as Hong Kong Tensions Fuel U.S.-China Trade Deal Doubts
2019-11-28 12:00,Stolen Upbit Ethereum Funds Begin Moving Across Blockchain
2019-11-28 16:52,Security Concerns Grow Over Cryptocurrency Exchanges After Upbit ETH Theft
2019-11-29 09:00,Asian Markets Cautious as U.S.-China Trade Uncertainty Persists After Hong Kong Bill
2019-11-29 15:30,Investors Seek Safe Havens as Political Tensions Weigh on Global Financial Markets
