timestamp,episode,steps,total_reward,final_balance,avg_loss,epsilon
2025-12-15T06:00:39.833383,1,2000,-146.413664004851,51.49605796028935,0.00022999585673952767,0.9873333333333333
2025-12-15T06:00:45.915830,2,2000,-108.62347050598699,179.39630864449407,0.00029237377043318704,0.9746666666666667
2025-12-15T06:00:52.105671,3,2000,-152.16724114093148,67.80036054696473,0.00029775295922445364,0.962
2025-12-15T06:00:58.691048,4,2000,-101.80476852067294,213.81532153431417,0.0003265110384454601,0.9493333333333334
2025-12-15T06:01:04.580893,5,2000,-140.55358474818468,133.33594411458506,0.00033225579448480856,0.9366666666666666
2025-12-15T06:01:10.518085,6,2000,-111.21033965659983,288.63128207243693,0.000352759047440486,0.924
2025-12-15T06:01:16.778593,7,2000,-111.98727433604309,178.97492414491802,0.0003923299177113222,0.9113333333333333
2025-12-15T06:01:22.917610,8,2000,-146.28372688957137,29.30578040754915,0.0004061675815464696,0.8986666666666667
2025-12-15T06:01:29.092879,9,2000,-115.6552442943058,137.19888774211412,0.00044036116767529163,0.886
2025-12-15T06:01:35.296440,10,2000,-150.55549396828516,38.59399248869544,0.0004915411783731542,0.8733333333333333
2025-12-15T06:01:42.226141,11,2000,-125.81732481462133,175.13377610814058,0.0004983286544083966,0.8606666666666667
2025-12-15T06:01:51.274194,12,2000,-146.20758431506735,104.1635465132073,0.0005250162353477208,0.848
2025-12-15T06:01:58.765328,13,2000,-159.4347432053225,71.47898921818471,0.0005951879454296432,0.8353333333333334
2025-12-15T06:02:05.964018,14,2000,-147.06336249995712,34.35313442134238,0.0006156305357799283,0.8226666666666667
2025-12-15T06:02:12.529918,15,2000,-128.89704160029393,179.14412296859524,0.0006411821225556195,0.81
2025-12-15T06:02:20.250511,16,2000,-156.37878988651966,35.63042680131203,0.000657021380327933,0.7973333333333333
2025-12-15T06:02:27.033100,17,2000,-154.4878972799351,65.03403771858731,0.0006941320440164418,0.7846666666666666
2025-12-15T06:02:34.213856,18,2000,-154.71841746929792,40.65143204082956,0.000792959838436218,0.772
2025-12-15T06:02:40.630993,19,2000,-104.90611320051109,187.91398465925596,0.0008152846412485815,0.7593333333333333
2025-12-15T06:02:48.290069,20,2000,-97.35460079655698,237.4635102002827,0.0008148713027476333,0.7466666666666667
2025-12-15T06:02:54.833151,21,2000,-115.23296618765809,163.23660213676453,0.0008787889140658081,0.734
2025-12-15T06:03:02.656944,22,2000,-127.35755385552281,47.74265876686316,0.0008402477254348923,0.7213333333333334
2025-12-15T06:03:09.903602,23,2000,-105.19628506602024,308.01950348350795,0.001054092380378279,0.7086666666666668
2025-12-15T06:03:16.978721,24,2000,-151.73385531724392,104.54475171115202,0.0010401666178586311,0.696
2025-12-15T06:03:24.308581,25,2000,-91.27180762743073,200.83956743828222,0.0011299833005250547,0.6833333333333333
2025-12-15T06:03:31.467382,26,2000,-125.58183848073043,196.71974222168342,0.0011962417494214604,0.6706666666666667
2025-12-15T06:03:37.857454,27,2000,-60.94712459804971,569.5034561775085,0.0011332400451865396,0.658
2025-12-15T06:03:44.843218,28,2000,-142.00882932230869,155.06647927175413,0.00124733661445498,0.6453333333333333
2025-12-15T06:03:52.808778,29,2000,-93.56136379044852,490.52766571025654,0.001186866980729974,0.6326666666666667
2025-12-15T06:04:01.106148,30,2000,-109.05996579640934,148.24526749215812,0.0013343795091932406,0.62
2025-12-15T06:04:10.619912,31,2000,-110.66499913888899,295.7540766746591,0.001311126145941671,0.6073333333333333
2025-12-15T06:04:18.826305,32,2000,-140.90352259830914,170.38135831746706,0.0014096727192954859,0.5946666666666667
2025-12-15T06:04:26.391961,33,2000,-124.62556306073286,111.41691970376618,0.0014228270316089039,0.5820000000000001
2025-12-15T06:04:34.234277,34,2000,-155.00990055840361,57.4159785815447,0.0013702742677705827,0.5693333333333334
2025-12-15T06:04:41.410045,35,2000,-132.15819427856798,70.8012641197732,0.001526093990629306,0.5566666666666666
2025-12-15T06:04:50.815326,36,2000,-107.05470626745722,321.0731209256145,0.0014093403372680768,0.544
2025-12-15T06:04:57.912293,37,2000,-111.72905250544966,242.4536652709117,0.0015554623999632896,0.5313333333333333
2025-12-15T06:05:05.570225,38,2000,-116.69019418344993,214.67403021618736,0.0017255544309737162,0.5186666666666666
2025-12-15T06:05:13.056813,39,2000,-51.265662760152644,757.2817316648639,0.0016741633932688274,0.506
2025-12-15T06:05:20.080173,40,2000,-119.04758375614132,283.61865352195844,0.0016171419110760327,0.4933333333333334
2025-12-15T06:05:27.085172,41,2000,-95.55742625225315,252.80560822081463,0.0016869159096531802,0.4806666666666667
2025-12-15T06:05:34.146944,42,2000,-132.6947360839071,104.89864400774673,0.0018000703225989128,0.46799999999999997
2025-12-15T06:05:41.384807,43,2000,-82.55400351495572,398.8795435202098,0.0018641718637954908,0.45533333333333337
2025-12-15T06:05:48.610186,44,2000,-79.92012548650412,351.36018451804256,0.0017212816101382486,0.44266666666666665
2025-12-15T06:05:55.818608,45,2000,-92.72531846666837,510.6042326441418,0.00183829791455355,0.43000000000000005
2025-12-15T06:06:03.015731,46,2000,-138.92571391751716,83.25950518564112,0.0019254002458765171,0.41733333333333344
2025-12-15T06:06:10.183517,47,2000,-58.30376740807487,690.0245911288873,0.0018433189395145747,0.4046666666666666
2025-12-15T06:06:17.471145,48,2000,-123.50760397256039,152.71569512808009,0.0020627297473256477,0.392
2025-12-15T06:06:24.702508,49,2000,-120.6028172954443,279.1241039296249,0.0019744647460320265,0.3793333333333334
2025-12-15T06:06:31.980282,50,2000,-54.45548007942642,511.26873022557845,0.0019414682579954388,0.3666666666666667
2025-12-15T06:06:39.292841,51,2000,-102.20981199505994,582.0191133779454,0.0020420203781250164,0.354
2025-12-15T06:06:46.700538,52,2000,-121.49213273417975,355.29059775622153,0.002199244191404432,0.3413333333333334
2025-12-15T06:06:53.883900,53,2000,-106.68537161454282,218.1911083742547,0.0020639652623940493,0.32866666666666666
2025-12-15T06:07:01.146226,54,2000,-71.03233328248494,633.4124192618872,0.002308935881126672,0.31600000000000006
2025-12-15T06:07:08.586046,55,2000,-94.46181500044847,371.46185892108787,0.0021976150150585455,0.30333333333333345
2025-12-15T06:07:16.683263,56,2000,-29.92869427068918,4687.743646995172,0.002347732033333159,0.29066666666666663
2025-12-15T06:07:24.665819,57,2000,-111.47100957672404,178.43898619383768,0.002195878261976759,0.278
2025-12-15T06:07:32.251525,58,2000,-98.41406574556427,372.67336632198896,0.0023278876862459583,0.2653333333333334
2025-12-15T06:07:39.794079,59,2000,-73.89967669522139,665.9914603274467,0.002406871925952146,0.2526666666666667
2025-12-15T06:07:47.152877,60,2000,-136.47476537145533,164.1349819260944,0.002649917114060372,0.24
